               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.074656,            0.015985,            0.029533,            0.035828,            0.039444,           0.0097781,           0.0032331,            0.084988,            0.015649,            0.059201,             0.00307,             0.00307,             0.00307
                  37,            0.073924,            0.016153,            0.029064,            0.038457,            0.037222,            0.012597,            0.003673,            0.084803,            0.016159,            0.057555,            0.002872,            0.002872,            0.002872
                  38,            0.073341,            0.016128,            0.027837,            0.036986,            0.037222,            0.013685,           0.0042884,            0.085009,            0.015833,            0.059031,            0.002674,            0.002674,            0.002674
                  39,            0.072866,            0.016084,            0.027796,             0.03611,                0.04,            0.011817,           0.0033564,            0.085334,             0.01584,             0.05943,            0.002476,            0.002476,            0.002476
                  40,            0.072545,            0.016243,            0.027002,            0.032813,            0.051111,              0.0152,           0.0044779,            0.084811,            0.015878,            0.059645,            0.002278,            0.002278,            0.002278
                  41,            0.071759,            0.016006,            0.025879,            0.032177,            0.041111,            0.012128,           0.0033703,            0.084897,            0.015748,            0.060317,             0.00208,             0.00208,             0.00208
                  42,            0.071628,            0.016027,            0.024841,            0.028311,            0.038889,            0.011518,            0.003298,            0.085041,            0.015833,            0.062369,            0.001882,            0.001882,            0.001882
                  43,            0.070888,            0.016044,            0.023742,            0.025665,            0.041667,            0.013044,           0.0039688,            0.085154,            0.015878,            0.062009,            0.001684,            0.001684,            0.001684
                  44,            0.070252,            0.016314,            0.023259,            0.027938,            0.044444,            0.011814,           0.0039481,            0.085645,            0.015963,            0.061296,            0.001486,            0.001486,            0.001486
                  45,            0.069779,            0.015962,            0.022632,            0.026179,            0.039444,            0.011987,           0.0038187,            0.085234,            0.015856,            0.063645,            0.001288,            0.001288,            0.001288
                  46,            0.068457,            0.015897,            0.020937,            0.029617,            0.048333,            0.015002,           0.0044563,            0.085977,            0.015857,            0.064047,             0.00109,             0.00109,             0.00109
                  47,            0.068596,            0.015992,            0.020228,             0.02875,            0.043333,            0.014677,           0.0047025,            0.085615,            0.015951,            0.066717,            0.000892,            0.000892,            0.000892
                  48,            0.068031,            0.015876,            0.019706,            0.032604,            0.052222,            0.013624,           0.0038239,            0.085618,            0.015965,            0.065674,            0.000694,            0.000694,            0.000694
                  49,            0.067462,            0.015849,            0.019225,            0.030678,            0.046667,            0.013934,           0.0042148,            0.085724,            0.015972,            0.066111,            0.000496,            0.000496,            0.000496
